TraceNo.;Realduration(ms);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained)
0;20258000;0;1;20257999;81595799;81595799;81595799;81595799;81263467;79163225;61337800;61337800;61337800;61337800;61005468;58905226;1;1065001;19192999;80530799;77967423;77967423;77967423;76623080;73577178;61337800;58774424;58774424;58774424;57430081;54384179;2;5029001;15228999;76566799;58158451;58158451;58158451;52999692;61412028;61337800;42929452;42929452;42929452;37770693;46183029;3;9029001;11228999;72566799;42744987;42744987;42744987;42765795;42576888;61337800;31515988;31515988;31515988;31536796;31347889;4;13931001;6326999;67664799;23396509;23396509;23396509;23782270;26924625;61337800;17069510;17069510;17069510;17455271;20597626;5;15648001;4609999;65947799;13130237;13130237;13130237;13339688;11532772;61337800;8520238;8520238;8520238;8729689;6922773;6;19703001;554999;61892799;2307032;2307032;2307032;2483528;1912275;61337800;1752033;1752033;1752033;1928529;1357276
1;23669000;0;1;23668999;81595799;81595799;81595799;81595799;80643071;97681988;57926800;57926800;57926800;57926800;56974072;74012989;1;558001;23110999;81037799;77967423;77967423;77967423;80315224;73887082;57926800;54856424;54856424;54856424;57204225;50776083;2;7585001;16083999;74010799;58158451;58158451;58158451;56013416;57866568;57926800;42074452;42074452;42074452;39929417;41782569;3;11384001;12284999;70211799;42744987;42744987;42744987;42815998;47222855;57926800;30459988;30459988;30459988;30530999;34937856;4;16259001;7409999;65336799;23396509;23396509;23396509;24489590;25302035;57926800;15986510;15986510;15986510;17079591;17892036;5;20473001;3195999;61122799;13130237;13130237;13130237;15139783;14146988;57926800;9934238;9934238;9934238;11943784;10950989;6;22793001;875999;58802799;2307032;2307032;2307032;2294358;1503968;57926800;1431033;1431033;1431033;1418359;627969
2;78014000;0;1;78013999;81595799;81595799;81595799;81595799;77411152;79807785;3581800;3581800;3581800;3581800;602847;1793786;1;1106001;76907999;80489799;77967423;77967423;77967423;79457247;82304332;3581800;1059424;1059424;1059424;2549248;5396333;2;5392001;72621999;76203799;58158451;58158451;58158451;56845815;61565988;3581800;14463548;14463548;14463548;15776184;11056011;3;65795001;12218999;15800799;42744987;42744987;42744987;42630671;37110795;3581800;30525988;30525988;30525988;30411672;24891796;4;71117001;6896999;10478799;23396509;23396509;23396509;23890213;21312622;3581800;16499510;16499510;16499510;16993214;14415623;5;73895001;4118999;7700799;13130237;13130237;13130237;14103976;16279308;3581800;9011238;9011238;9011238;9984977;12160309;6;77471001;542999;4124799;2307032;2307032;2307032;2254154;4168518;3581800;1764033;1764033;1764033;1711155;3625519
3;19615000;0;1;19614999;81595799;81595799;81595799;81595799;80020465;97978988;61980800;61980800;61980800;61980800;60405466;78363989;1;821001;18793999;80774799;77967423;77967423;77967423;79370562;83034578;61980800;59173424;59173424;59173424;60576563;64240579;2;6063001;13551999;75532799;58158451;58158451;58158451;60205367;63830508;61980800;44606452;44606452;44606452;46653368;50278509;3;9049001;10565999;72546799;42744987;42744987;42744987;43918241;45829458;61980800;32178988;32178988;32178988;33352242;35263459;4;13935001;5679999;67660799;23396509;23396509;23396509;21893311;29872558;61980800;17716510;17716510;17716510;16213312;24192559;5;16901001;2713999;64694799;13130237;13130237;13130237;13664592;12003608;61980800;10416238;10416238;10416238;10950593;9289609;6;19296001;318999;62299799;2307032;2307032;2307032;2449775;5085552;61980800;1988033;1988033;1988033;2130776;4766553
4;21283000;0;1;21282999;81595799;81595799;81595799;81595799;78940524;74499018;60312800;60312800;60312800;60312800;57657525;53216019;1;928001;20354999;80667799;77967423;77967423;77967423;75990354;79965992;60312800;57612424;57612424;57612424;55635355;59610993;2;6180001;15102999;75415799;58158451;58158451;58158451;57134546;64497955;60312800;43055452;43055452;43055452;42031547;49394956;3;10466001;10816999;71129799;42744987;42744987;42744987;43457512;46406912;60312800;31927988;31927988;31927988;32640513;35589913;4;15592001;5690999;66003799;23396509;23396509;23396509;22483517;25566125;60312800;17705510;17705510;17705510;16792518;19875126;5;19123001;2159999;62472799;13130237;13130237;13130237;13487035;14942645;60312800;10970238;10970238;10970238;11327036;12782646;6;20817001;465999;60778799;2307032;2307032;2307032;1979717;3032652;60312800;1841033;1841033;1841033;1513718;2566653
5;77665000;0;1;77664999;81595799;81595799;81595799;81595799;79023414;82549068;3930800;3930800;3930800;3930800;1358415;4884069;1;865001;76799999;80730799;77967423;77967423;77967423;79390435;74562835;3930800;1167424;1167424;1167424;2590436;2237164;2;63045001;14619999;18550799;58158451;58158451;58158451;58186996;53209305;3930800;43538452;43538452;43538452;43566997;38589306;3;67788001;9876999;13807799;42744987;42744987;42744987;43302711;44910872;3930800;32867988;32867988;32867988;33425712;35033873;4;73003001;4661999;8592799;23396509;23396509;23396509;22397660;30451852;3930800;18734510;18734510;18734510;17735661;25789853;5;75892001;1772999;5703799;13130237;13130237;13130237;12524709;12175645;3930800;11357238;11357238;11357238;10751710;10402646;6;77059001;605999;4536799;2307032;2307032;2307032;2394711;1144875;3930800;1701033;1701033;1701033;1788712;538876
6;17668000;0;1;17667999;81595799;81595799;81595799;81595799;82735392;81275292;63927800;63927800;63927800;63927800;65067393;63607293;1;686001;16981999;80909799;77967423;77967423;77967423;79761499;80670805;63927800;60985424;60985424;60985424;62779500;63688806;2;2564001;15103999;79031799;58158451;58158451;58158451;57980877;51707808;63927800;43054452;43054452;43054452;42876878;36603809;3;5921001;11746999;75674799;42744987;42744987;42744987;43911860;42522552;63927800;30997988;30997988;30997988;32164861;30775553;4;11756001;5911999;69839799;23396509;23396509;23396509;23110058;23355282;63927800;17484510;17484510;17484510;17198059;17443283;5;14382001;3285999;67213799;13130237;13130237;13130237;13404471;11214002;63927800;9844238;9844238;9844238;10118472;7928003;6;17177001;490999;64418799;2307032;2307032;2307032;2186163;962562;63927800;1816033;1816033;1816033;1695164;471563
7;20157000;0;1;20156999;81595799;81595799;81595799;81595799;82728800;80999955;61438800;61438800;61438800;61438800;62571801;60842956;1;970001;19186999;80625799;77967423;77967423;77967423;77052376;71660572;61438800;58780424;58780424;58780424;57865377;52473573;2;5974001;14182999;75621799;58158451;58158451;58158451;56768214;53659932;61438800;43975452;43975452;43975452;42585215;39476933;3;9748001;10408999;71847799;42744987;42744987;42744987;45314818;40406448;61438800;32335988;32335988;32335988;34905819;29997449;4;15329001;4827999;66266799;23396509;23396509;23396509;23051517;20363628;61438800;18568510;18568510;18568510;18223518;15535629;5;16804001;3352999;64791799;13130237;13130237;13130237;14491826;11707095;61438800;9777238;9777238;9777238;11138827;8354096;6;19679001;477999;61916799;2307032;2307032;2307032;2264327;1685615;61438800;1829033;1829033;1829033;1786328;1207616
8;79870000;0;1;79869999;81595799;81595799;81595799;81595799;82076321;78566188;1725800;1725800;1725800;1725800;2206322;1303811;1;1015001;78854999;80580799;77967423;77967423;77967423;76390781;74938158;1725800;887576;887576;887576;2464218;3916841;2;7390001;72479999;74205799;58158451;58158451;58158451;57241848;66136928;1725800;14321548;14321548;14321548;15238151;6343071;3;12583001;67286999;69012799;42744987;42744987;42744987;45466205;37571148;1725800;24542012;24542012;24542012;21820794;29715851;4;16651001;63218999;64944799;23396509;23396509;23396509;22079049;26506842;1725800;39822490;39822490;39822490;41139950;36712157;5;19765001;60104999;61830799;13130237;13130237;13130237;13236983;15820682;1725800;46974762;46974762;46974762;46868016;44284317;6;79566001;303999;2029799;2307032;2307032;2307032;2107993;2446085;1725800;2003033;2003033;2003033;1803994;2142086
9;78650000;0;1;78649999;81595799;81595799;81595799;81595799;81118492;75618625;2945800;2945800;2945800;2945800;2468493;3031374;1;802001;77847999;80793799;77967423;77967423;77967423;77927547;74970091;2945800;119424;119424;119424;79548;2877908;2;5398001;73251999;76197799;58158451;58158451;58158451;57618207;59769345;2945800;15093548;15093548;15093548;15633792;13482654;3;10133001;68516999;71462799;42744987;42744987;42744987;42089835;35337492;2945800;25772012;25772012;25772012;26427164;33179507;4;15609001;63040999;65986799;23396509;23396509;23396509;24200334;30077252;2945800;39644490;39644490;39644490;38840665;32963747;5;19281001;59368999;62314799;13130237;13130237;13130237;15258930;13381368;2945800;46238762;46238762;46238762;44110069;45987631;6;77801001;848999;3794799;2307032;2307032;2307032;2183079;967388;2945800;1458033;1458033;1458033;1334080;118389
