AMOUNT_REQ, open_cases_0, elapsed_0, open_cases_1, elapsed_1, open_cases_2, elapsed_2, activity_name_0_O_SELECTED, activity_name_1_O_CREATED, activity_name_2_O_SENT, Resource_0_10138, Resource_0_10228, Resource_0_10609, Resource_0_10629, Resource_0_10809, Resource_0_10859, Resource_0_10861, Resource_0_10862, Resource_0_10863, Resource_0_10880, Resource_0_10881, Resource_0_10889, Resource_0_10909, Resource_0_10910, Resource_0_10912, Resource_0_10913, Resource_0_10914, Resource_0_10929, Resource_0_10931, Resource_0_10932, Resource_0_10933, Resource_0_10935, Resource_0_10939, Resource_0_10971, Resource_0_10972, Resource_0_10982, Resource_0_11000, Resource_0_11001, Resource_0_11002, Resource_0_11003, Resource_0_11009, Resource_0_11019, Resource_0_11111, Resource_0_11119, Resource_0_11120, Resource_0_11121, Resource_0_11122, Resource_0_11169, Resource_0_11179, Resource_0_11180, Resource_0_11181, Resource_0_11189, Resource_0_11200, Resource_0_11201, Resource_0_11202, Resource_0_11203, Resource_1_10138, Resource_1_10228, Resource_1_10609, Resource_1_10629, Resource_1_10809, Resource_1_10859, Resource_1_10861, Resource_1_10862, Resource_1_10863, Resource_1_10880, Resource_1_10881, Resource_1_10889, Resource_1_10909, Resource_1_10910, Resource_1_10912, Resource_1_10913, Resource_1_10914, Resource_1_10929, Resource_1_10931, Resource_1_10932, Resource_1_10933, Resource_1_10935, Resource_1_10939, Resource_1_10971, Resource_1_10972, Resource_1_10982, Resource_1_11000, Resource_1_11001, Resource_1_11002, Resource_1_11003, Resource_1_11009, Resource_1_11019, Resource_1_11111, Resource_1_11119, Resource_1_11120, Resource_1_11121, Resource_1_11122, Resource_1_11169, Resource_1_11179, Resource_1_11180, Resource_1_11181, Resource_1_11189, Resource_1_11200, Resource_1_11201, Resource_1_11202, Resource_1_11203, Resource_2_10138, Resource_2_10228, Resource_2_10609, Resource_2_10629, Resource_2_10809, Resource_2_10859, Resource_2_10861, Resource_2_10862, Resource_2_10863, Resource_2_10880, Resource_2_10881, Resource_2_10889, Resource_2_10909, Resource_2_10910, Resource_2_10912, Resource_2_10913, Resource_2_10914, Resource_2_10929, Resource_2_10931, Resource_2_10932, Resource_2_10933, Resource_2_10935, Resource_2_10939, Resource_2_10971, Resource_2_10972, Resource_2_10982, Resource_2_11000, Resource_2_11001, Resource_2_11002, Resource_2_11003, Resource_2_11009, Resource_2_11019, Resource_2_11111, Resource_2_11119, Resource_2_11120, Resource_2_11121, Resource_2_11122, Resource_2_11169, Resource_2_11179, Resource_2_11180, Resource_2_11181, Resource_2_11189, Resource_2_11200, Resource_2_11201, Resource_2_11202, Resource_2_11203
20000,2,0,2,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,3,0,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999999,4,0,4,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000,5,0,5,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,6,0,6,3,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,8,0,8,1,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32000,7,0,7,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,62,0,62,1,62,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000,9,0,9,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
