Case ID,Status_change_to_Being_Approved,Check_order_numbers,Compare_of_sums,Check_cost_center,Get_lowest_approval_level,Approving_on_specific_level,Manual_identification_CC,Manual_enter_the_order_number,Check_whether_the_total_approval,Shift_to_higher_level,Status_change_to_Accounted,Process_end,Status_change_to_Approved,Invoice_accounting_confirmation,Invoice_accounting,x11,x21,x31,x41,x51,x61
977017,6.0,0.0,1.0,0.0,1.0,3.0,-1.0,-1.0,79230.0,-1.0,0.0,3.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977022,0.0,1.0,0.0,1.0,4923.0,2.0,1.0,-1.0,57927.333333333336,1.0,28.0,3.0,2.0,1.0,241142.0,1,1,0,0,1,1
977024,5.0,2.0,0.0,1.0,0.0,2.0,-1.0,-1.0,79135.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977034,2.0,1.0,1.0,0.0,1.0,3.0,-1.0,-1.0,78992.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977040,2.0,0.0,1.0,0.0,0.0,3.0,-1.0,-1.0,78648.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977043,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,78617.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977045,2.0,4.0,2.0,2.0,1.0,9.0,-1.0,-1.0,179605.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977051,2.0,1.0,1.0,1.0,0.0,6.0,-1.0,-1.0,78487.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977059,1.0,1.0,0.0,0.0,1.0,3.0,-1.0,-1.0,78264.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977062,1.0,1.0,0.0,0.0,0.0,3.0,-1.0,-1.0,78038.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977067,2.0,1.0,77335.0,0.0,1.0,2.0,-1.0,1.0,5562.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977069,1.0,1.0,22138.0,1.0,0.0,1.0,-1.0,0.0,60728.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977078,3.0,2.0,0.0,1.0,0.0,5.0,-1.0,-1.0,76538.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
